Toss Decision,Match ID,Toss Winner,Team1,Team2,Winner,DL Method,Total Balls
,238,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,0.0,249.0
,239,Deccan Chargers,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,0.0,224.0
,246,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,0.0,247.0
,248,Chennai Super Kings,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,0.0,246.0
,251,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,0.0,238.0
,256,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,0.0,234.0
,257,Deccan Chargers,Chennai Super Kings,Deccan Chargers,Deccan Chargers,0.0,254.0
,261,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,0.0,234.0
,262,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,1.0,186.0
,264,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,Deccan Chargers,0.0,244.0
,268,Deccan Chargers,Deccan Chargers,Mumbai Indians,Mumbai Indians,0.0,243.0
,269,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,0.0,240.0
,274,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,0.0,248.0
,277,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,0.0,209.0
,279,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,0.0,251.0
,281,Pune Warriors,Pune Warriors,Chennai Super Kings,Chennai Super Kings,0.0,247.0
,283,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,0.0,227.0
,284,Mumbai Indians,Delhi Capitals,Mumbai Indians,Mumbai Indians,0.0,247.0
,290,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,0.0,250.0
,293,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,0.0,251.0
,294,Kings XI Punjab,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,0.0,243.0
,295,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,0.0,242.0
,309,Mumbai Indians,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,0.0,240.0
,310,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,0.0,248.0
,312,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,0.0,248.0
,314,Kings XI Punjab,Kings XI Punjab,Mumbai Indians,Mumbai Indians,0.0,249.0
,315,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,0.0,236.0
,318,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,0.0,248.0
,321,Mumbai Indians,Mumbai Indians,Kings XI Punjab,Mumbai Indians,0.0,251.0
,322,Mumbai Indians,Kings XI Punjab,Mumbai Indians,Mumbai Indians,0.0,245.0
