Match_ID,Season,Date,Team1,Team2,Toss_Winner,Toss_Decision,result,DL_Method,Winner,Win_By_Runs,Win_By_Wicket,Man_Of_The_Match,Venue,Umpire1,Umpire2,Umpire3,Total_Balls,Team1_Strength,Team2_Strength,Team1_Strength,Team2_Strength
71,2018,5/19/18,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Normal,0,Rajasthan Royals,30.0,,S Gopal,Sawai Mansingh Stadium,BNJ Oxenford,VK Sharma,,241,259.5,290.1,29.37735849056604,22.6640625
72,2010,4/19/10,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Normal,0,Kolkata Knight Riders,,9.0,M Kartik,Eden Gardens,BG Jerling,RE Koertzen,,233,244.5,336.5,58.214285714285715,98.97058823529412
73,2017,4/13/17,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,Normal,0,Kolkata Knight Riders,,8.0,SP Narine,Eden Gardens,A Deshmukh,NJ Llong,,234,1643.5,1425.0,136.95833333333334,129.54545454545453
74,2008,5/28/08,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Normal,0,Kings XI Punjab,41.0,,SE Marsh,"Punjab Cricket Association Stadium, Mohali",SJ Davis,K Hariharan,,245,278.75,330.5833333333333,24.23913043478261,29.604477611940297
75,2011,5/20/11,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Normal,0,Rajasthan Royals,,10.0,SR Watson,Wankhede Stadium,RE Koertzen,PR Reiffel,,203,269.75,237.6,24.15671641791045,19.8
76,2015,4/11/15,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Normal,0,Royal Challengers Bangalore,,3.0,CH Gayle,Eden Gardens,S Ravi,C Shamshuddin,,238,1483.5,1678.5,185.4375,239.78571428571428
77,2012,5/1/12,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,Normal,0,Delhi Daredevils,,6.0,P Negi,Sawai Mansingh Stadium,JD Cloete,SJA Taufel,,216,265.3,317.5,31.583333333333332,32.39795918367347
78,2013,5/8/13,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Normal,0,Chennai Super Kings,77.0,,SK Raina,"Rajiv Gandhi International Stadium, Uppal",S Das,NJ Llong,,252,235.4375,263.9375,36.22115384615385,28.924657534246574
79,2013,4/3/13,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,field,Normal,0,Kolkata Knight Riders,,6.0,SP Narine,Eden Gardens,S Ravi,SJA Taufel,,239,323.8,726.75,38.54761904761905,40.375
80,2018,5/12/18,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Normal,0,Royal Challengers Bangalore,,5.0,AB de Villiers,Feroz Shah Kotla,KN Ananthapadmanabhan,HDPK Dharmasena,,245,331.875,483.5,23.705357142857142,26.86111111111111
