Match_ID,Season,Date,Team1,Team2,Toss_Winner,Toss_Decision,result,DL_Method,Winner,Win_By_Runs,Win_By_Wicket,Man_Of_The_Match,Venue,Umpire1,Umpire2,Umpire3,Total_Balls
262,2011,5/7/11,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Normal,1,Kolkata Knight Riders,10,,Iqbal Abdulla,Eden Gardens,Asad Rauf,PR Reiffel,,186
263,2017,4/30/17,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Normal,0,Sunrisers Hyderabad,48,,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,S Ravi,,247
264,2010,4/10/10,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,bat,Normal,0,Deccan Chargers,,6,RJ Harris,"Vidarbha Cricket Association Stadium, Jamtha",HDPK Dharmasena,SJA Taufel,,244
265,2012,5/25/12,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,field,Normal,0,Chennai Super Kings,86,,M Vijay,"MA Chidambaram Stadium, Chepauk",BR Doctrove,SJA Taufel,,229
266,2016,4/30/16,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Normal,0,Sunrisers Hyderabad,15,,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,HDPK Dharmasena,,246
267,2018,4/12/18,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Normal,0,Sunrisers Hyderabad,,1,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",NJ Llong,CK Nandan,,245
268,2012,4/9/12,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Normal,0,Mumbai Indians,,5,RG Sharma,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,AK Chaudhary,JD Cloete,,243
269,2018,4/29/18,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Normal,0,Sunrisers Hyderabad,11,,KS Williamson,Sawai Mansingh Stadium,BNJ Oxenford,A Nand Kishore,,240
270,2019,4/2/19,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Normal,0,Rajasthan Royals,,7,S Gopal,Sawai Mansingh Stadium,AY Dandekar,M Erasmus,,246
271,2008,5/10/08,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Normal,0,Chennai Super Kings,18,,L Balaji,"MA Chidambaram Stadium, Chepauk",AV Jayaprakash,BG Jerling,,253
272,2011,5/25/11,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Normal,0,Mumbai Indians,,4,MM Patel,Wankhede Stadium,Asad Rauf,SJA Taufel,,241
273,2015,4/13/15,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Normal,0,Sunrisers Hyderabad,,8,DA Warner,M Chinnaswamy Stadium,RM Deshpande,RK Illingworth,,237
274,2012,4/28/12,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,Normal,0,Kings XI Punjab,7,,Mandeep Singh,"MA Chidambaram Stadium, Chepauk",BF Bowden,SK Tarapore,,248
275,2009,5/15/09,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Normal,0,Kings XI Punjab,,6,B Lee,OUTsurance Oval,HDPK Dharmasena,IL Howell,,249
276,2018,5/25/18,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Normal,0,Sunrisers Hyderabad,14,,Rashid Khan,Eden Gardens,HDPK Dharmasena,Nitin Menon,,245
277,2008,5/4/08,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Normal,0,Rajasthan Royals,,8,Sohail Tanvir,Sawai Mansingh Stadium,Asad Rauf,AV Jayaprakash,,209
278,2012,5/6/12,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Normal,0,Mumbai Indians,,2,DR Smith,Wankhede Stadium,Asad Rauf,S Asnani,,248
279,2009,5/17/09,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Normal,0,Delhi Daredevils,14,,AB de Villiers,OUTsurance Oval,SS Hazare,IL Howell,,251
280,2016,5/7/16,Royal Challengers Bangalore,Rising Pune Supergiants,Royal Challengers Bangalore,field,Normal,0,Royal Challengers Bangalore,,7,V Kohli,M Chinnaswamy Stadium,CB Gaffaney,BNJ Oxenford,,244
281,2011,4/27/11,Pune Warriors,Chennai Super Kings,Pune Warriors,bat,Normal,0,Chennai Super Kings,,8,DE Bollinger,Dr DY Patil Sports Academy,Asad Rauf,SL Shastri,,247
282,2018,4/15/18,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,Normal,0,Rajasthan Royals,19,,SV Samson,M.Chinnaswamy Stadium,C Shamshuddin,S Ravi,,251
283,2019,4/17/19,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,bat,Normal,0,Sunrisers Hyderabad,,6,DA Warner,"Rajiv Gandhi International Stadium, Uppal",UV Gandhe,IJ Gould,,227
284,2019,4/18/19,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Normal,0,Mumbai Indians,40,,HH Pandya,Feroz Shah Kotla,BNJ Oxenford,NJ Llong,,247
